,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Setosa = 0,,Learning Rate,,0.1,,,,,,,,,ACCURACY after iterasi 5,,,,
,12,1,4.8,3.4,1.6,0.2,0,,0.4882827442,0.4434075935,0.4616997496,0.4831104703,0.4976565488,5.058926403,0.9936877222,1,0.9936877222,0.9874152893,,0.01246567918,0.05983526008,0.04238330922,0.01994508669,0.002493135837
,13,1,4.8,3,1.4,0.2,0,,0.4870361763,0.4374240674,0.4574614186,0.4811159616,0.4974072353,4.732099749,0.9912689456,1,0.9912689456,0.9826141226,,0.01715851463,0.08236087023,0.05147554389,0.02402192048,0.003431702926
,14,1,4.3,3,1.1,0.2,0,,0.4853203248,0.4291879804,0.4523138643,0.4787137696,0.497064065,4.313768193,0.9867937154,1,0.9867937154,0.9737618367,,0.02571955192,0.1105940732,0.07715865575,0.02829150711,0.005143910383
,15,1,5.8,4,1.2,0.2,0,,0.4827483696,0.4181285731,0.4445979987,0.4758846189,0.4965496739,5.356657566,0.9953054974,1,0.9953054974,0.9906330332,,0.009301058629,0.05394614005,0.03720423452,0.01116127036,0.001860211726
,16,1,5.7,4.4,1.5,0.2,0,,0.4818182637,0.4127339591,0.4408775752,0.4747684918,0.4963636527,5.58568863,0.9962628529,1,0.9962628529,0.9925396722,,0.007418533431,0.04228564055,0.03264154709,0.01112780015,0.001483706686
,17,1,5.4,3.9,1.3,0.2,0,,0.4810764104,0.408505395,0.4376134205,0.4736557118,0.4962152821,5.108693365,0.9939923351,1,0.9939923351,0.9880207623,,0.01187139522,0.06410553421,0.04629844137,0.01543281379,0.002374279045
,18,1,5.1,3.5,1.4,0.2,0,,0.4798892709,0.4020948416,0.4329835764,0.4721124304,0.4959778542,4.806168454,0.9918872171,1,0.9918872171,0.9838402514,,0.01596336475,0.08141316023,0.05587177663,0.02234871065,0.00319267295
,19,1,5.7,3.8,1.7,0.2,0,,0.4782929344,0.3939535256,0.4273963987,0.4698775594,0.4956585869,5.245857914,0.9947583208,1,0.9947583208,0.9895441168,,0.01037374558,0.05913034981,0.03942023321,0.01763536749,0.002074749116
,20,1,5.1,3.8,1.5,0.2,0,,0.4772555598,0.3880404906,0.4234543754,0.4681140226,0.495451112,4.866649945,0.9923597089,1,0.9923597089,0.9847777918,,0.01504797803,0.07674468794,0.0571823165,0.02257196704,0.003009595605
,21,1,5.4,3.4,1.7,0.2,0,,0.475750762,0.3803660218,0.4177361437,0.4658568259,0.4951501524,4.841016803,0.9921628873,1,0.9921628873,0.9843871949,,0.01542950682,0.08331933684,0.05246032319,0.0262301616,0.003085901364
,22,1,5.1,3.7,1.5,0.2,0,,0.4742078114,0.3720340881,0.4124901114,0.4632338098,0.4948415623,4.6916141,0.9909114888,1,0.9909114888,0.9819055786,,0.01784811978,0.09102541087,0.06603804318,0.02677217967,0.003569623956
,23,1,4.6,3.6,1,0.2,0,,0.4724229994,0.362931547,0.4058863071,0.4605565918,0.4944845999,4.162552333,0.9846708674,1,0.9846708674,0.9695767172,,0.02972554007,0.1367374843,0.1070119442,0.02972554007,0.005945108014
,24,1,5.1,3.3,1.7,0.2,0,,0.4694504454,0.3492577986,0.3951851127,0.4575840378,0.4938900891,4.431446972,0.9882426184,1,0.9882426184,0.9766234729,,0.02296506961,0.117121855,0.07578472971,0.03904061834,0.004593013922
,25,1,4.8,3.4,1.9,0.2,0,,0.4671539384,0.3375456131,0.3876066397,0.4536799759,0.4934307877,4.365913568,0.9874562984,1,0.9874562984,0.9750699413,,0.02446197271,0.117417469,0.08317070722,0.04647774815,0.004892394542
,26,1,5,3,1.6,0.2,0,,0.4647077411,0.3258038662,0.379289569,0.4490322011,0.4929415482,4.048635611,0.9828529878,1,0.9828529878,0.9659999956,,0.03312802745,0.1656401373,0.09938408236,0.05300484392,0.00662560549
,27,1,5,3.4,1.6,0.2,0,,0.4613949384,0.3092398525,0.3693511608,0.4437317167,0.4922789877,4.071814692,0.9832392839,1,0.9832392839,0.9667594894,,0.03240716268,0.1620358134,0.1101843531,0.05185146029,0.006481432536
,28,1,5.2,3.5,1.5,0.2,0,,0.4581542221,0.2930362711,0.3583327254,0.4385465707,0.4916308444,3.992253396,0.9818764519,1,0.9818764519,0.9640813668,,0.03494515001,0.1817147801,0.122308025,0.05241772502,0.006989030002
,29,1,5.2,3.4,1.4,0.2,0,,0.4546597071,0.2748647931,0.3461019229,0.4333047982,0.4909319414,3.765516275,0.9773683952,1,0.9773683952,0.9552489799,,0.04323763487,0.2248357013,0.1470079585,0.06053268881,0.008647526973
,30,1,4.7,3.2,1.6,0.2,0,,0.4503359436,0.252381223,0.3314011271,0.4272515293,0.4900671887,3.478627183,0.9700734918,1,0.9700734918,0.9410425795,,0.05632423698,0.2647239138,0.1802375583,0.09011877917,0.0112648474
,31,1,4.8,3.1,1.6,0.2,0,,0.4447035199,0.2259088316,0.3133773713,0.4182396514,0.488940704,3.267507346,0.9632971438,1,0.9632971438,0.9279413872,,0.06811619868,0.3269577537,0.2111602159,0.1089859179,0.01362323974
,32,1,5.4,3.4,1.5,0.2,0,,0.4378919001,0.1932130563,0.2922613497,0.4073410596,0.48757838,3.183458258,0.9602070149,1,0.9602070149,0.9219975114,,0.07337806651,0.3962415591,0.2494854261,0.1100670998,0.0146756133
,33,1,5.2,4.1,1.5,0.2,0,,0.4305540934,0.1535889003,0.267312807,0.3963343496,0.4861108187,3.016922572,0.9533328035,1,0.9533328035,0.9088434343,,0.08482635024,0.4410970212,0.347788036,0.1272395254,0.01696527005
,34,1,5.5,4.2,1.4,0.2,0,,0.4220714584,0.1094791982,0.2325340035,0.3836103971,0.4844142917,2.634787277,0.9330671491,1,0.9330671491,0.8706143047,,0.116545395,0.6409996722,0.4894906588,0.1631635529,0.02330907899
,35,1,4.9,3.1,1.5,0.2,0,,0.4104169189,0.045379231,0.1835849376,0.3672940418,0.4820833838,1.849246197,0.8640385736,1,0.8640385736,0.7465626566,,0.2030074474,0.9947364924,0.629323087,0.3045111712,0.04060148949
,36,1,5,3.2,1.2,0.2,0,,0.3901161742,-0.05409441824,0.1206526289,0.3368429247,0.4780232348,1.005548652,0.7321481102,1,0.7321481102,0.5360408552,,0.2871591122,1.435795561,0.918909159,0.3445909346,0.05743182244
,37,1,5.5,3.5,1.3,0.2,0,,0.3614002629,-0.1976739743,0.02876171296,0.3023838312,0.4722800526,-0.1375856094,0.4656577549,0,0.4656577549,0.2168371447,,0.2317304934,1.274517714,0.811056727,0.3012496415,0.04634609869
,38,1,4.9,3.1,1.5,0.2,0,,0.3382272136,-0.3251257457,-0.05234395974,0.2722588671,0.4676454427,-0.9152378264,0.2859292128,0,0.2859292128,0.08175551476,,0.1167584496,0.5721164028,0.3619511936,0.1751376743,0.02335168991
,39,1,4.4,3,1.3,0.2,0,,0.3265513686,-0.382337386,-0.0885390791,0.2547450997,0.4653102737,-1.197119683,0.2319880052,0,0.2319880052,0.05381843455,,0.08266640655,0.3637321888,0.2479992196,0.1074663285,0.01653328131
,40,1,5.1,3.4,1.5,0.2,0,,0.318284728,-0.4187106049,-0.1133390011,0.2439984668,0.4636569456,-1.743762871,0.1488356104,0,0.1488356104,0.02215203892,,0.03771005338,0.1923212722,0.1282141815,0.05656508006,0.007542010675
,41,1,5,3.5,1.3,0.2,0,,0.3145137227,-0.4379427321,-0.1261604192,0.2383419588,0.4629027445,-1.91433631,0.1284944736,0,0.1284944736,0.01651082975,,0.02877855874,0.1438927937,0.1007249556,0.03741212636,0.005755711748
,42,1,4.5,2.3,1.3,0.2,0,,0.3116358668,-0.4523320115,-0.1362329148,0.2346007462,0.4623271734,-1.639747484,0.1624994254,0,0.1624994254,0.02640606325,,0.04423018629,0.1990358383,0.1017294285,0.05749924218,0.008846037258
,43,1,4.4,3.2,1.3,0.2,0,,0.3072128482,-0.4722355953,-0.1464058576,0.2288508219,0.4614425696,-1.849327933,0.1359518247,0,0.1359518247,0.01848289863,,0.03194022967,0.1405370106,0.102208735,0.04152229858,0.006388045935
,44,1,5,3.5,1.6,0.2,0,,0.3040188252,-0.4862892964,-0.1566267311,0.2246985921,0.460803765,-2.223942715,0.0976209348,0,0.0976209348,0.00952984691,,0.01719906869,0.08599534346,0.06019674043,0.02751850991,0.003439813739
,45,1,5.1,3.8,1.9,0.2,0,,0.3022989183,-0.4948888307,-0.1626464052,0.2219467411,0.4604597837,-2.325899693,0.08900055413,0,0.08900055413,0.007921098636,,0.01443223294,0.07360438797,0.05484248516,0.02742124258,0.002886446587
,46,1,4.8,3,1.4,0.2,0,,0.300855695,-0.5022492695,-0.1681306537,0.2192046168,0.460171139,-2.215412068,0.09837499253,0,0.09837499253,0.009677639156,,0.01745120295,0.08376577417,0.05235360886,0.02443168413,0.003490240591
,47,1,5.1,3.8,1.6,0.2,0,,0.2991105747,-0.5106258469,-0.1733660146,0.2167614484,0.4598221149,-2.525089359,0.07411793271,0,0.07411793271,0.00549346795,,0.01017260692,0.05188029531,0.03865590631,0.01627617108,0.002034521385
,48,1,4.6,3.2,1.4,0.2,0,,0.298093314,-0.5158138765,-0.1772316052,0.2151338313,0.4596186628,-2.248680558,0.09546333805,0,0.09546333805,0.009113248911,,0.0164865355,0.0758380633,0.0527569136,0.0230811497,0.0032973071
,49,1,5.3,3.7,1.5,0.2,0,,0.2964446605,-0.5233976828,-0.1825072965,0.2128257163,0.4592889321,-2.741743695,0.06055463238,0,0.06055463238,0.003666863503,,0.006889635863,0.03651507007,0.02549165269,0.01033445379,0.001377927173
,50,1,5,3.3,1.4,0.2,0,,0.2957556969,-0.5270491898,-0.1850564618,0.211792271,0.4591511394,-2.561837169,0.07163526763,0,0.07163526763,0.005131611568,,0.0095280144,0.047640072,0.03144244752,0.01333922016,0.00190560288
,51,1,7,3.2,4.7,0.2,1,,0.2948028955,-0.531813197,-0.1882007066,0.210458349,0.4589605791,-2.949185389,0.04977502649,0,-0.9502249735,0.9029275003,,-0.08988648049,-0.6292053634,-0.2876367376,-0.4224664583,-0.0179772961
,52,1,6.4,3.2,4.5,0.2,1,,0.3037915435,-0.4688926607,-0.1594370328,0.2527049948,0.4607583087,-1.977995851,0.1215326435,0,-0.8784673565,0.7717048965,,-0.1875746721,-1.200477902,-0.6002389508,-0.8440860245,-0.03751493442
,53,1,6.9,3.1,4.9,0.2,1,,0.3225490107,-0.3488448705,-0.09941313773,0.3371135972,0.4645098021,-0.6479027358,0.3434623065,0,-0.6565376935,0.431041743,,-0.2960931825,-2.043042959,-0.9178888657,-1.450856594,-0.0592186365
,54,1,5.5,2.3,4,0.2,1,,0.352158329,-0.1445405746,-0.007624251163,0.4821992567,0.4704316658,1.562532751,0.8267164859,1,-0.1732835141,0.03002717626,,-0.04964792328,-0.2730635781,-0.1141902235,-0.1985916931,-0.009929584656
,55,1,6.5,2.8,4.6,0.2,1,,0.3571231213,-0.1172342168,0.003794771192,0.502058426,0.4714246243,2.009479756,0.8817888041,1,-0.1182111959,0.01397388683,,-0.02464403392,-0.1601862205,-0.06900329497,-0.113362556,-0.004928806784
,56,1,5.7,2.8,4.5,0.2,1,,0.3595875247,-0.1012155947,0.01069510069,0.5133946816,0.4719175049,2.217264485,0.9017891897,1,-0.09821081029,0.009645363258,,-0.01739616863,-0.09915816122,-0.04870927218,-0.07828275886,-0.003479233727
,57,1,6.3,3.3,4.7,0.2,1,,0.3613271416,-0.09129977861,0.01556602791,0.5212229575,0.4722654283,2.381707414,0.9154217243,1,-0.08457827575,0.007153484729,,-0.01309691065,-0.08251053709,-0.04321980514,-0.06155548005,-0.00261938213
,58,1,4.9,2.4,3.3,0.2,1,,0.3626368326,-0.0830487249,0.01988800842,0.5273785055,0.4725273665,1.838283842,0.862745614,1,-0.137254386,0.01883876647,,-0.0325061263,-0.1592800189,-0.07801470311,-0.1072702168,-0.006501225259
,59,1,6.6,2.9,4.6,0.2,1,,0.3658874452,-0.06712072301,0.02768947873,0.5381055271,0.473177489,2.573111084,0.9291108777,1,-0.07088912233,0.005025267664,,-0.0093380617,-0.06163120722,-0.02708037893,-0.04295508382,-0.00186761234
,60,1,5.2,2.7,3.9,0.2,1,,0.3668212514,-0.06095760229,0.03039751663,0.5424010355,0.4733642503,2.341951903,0.9122923924,1,-0.08770760761,0.007692624432,,-0.01403584549,-0.07298639657,-0.03789678283,-0.05473979743,-0.002807169099
,61,1,5,2,3.5,0.2,1,,0.368224836,-0.05365896263,0.03418719491,0.5478750153,0.4736449672,2.180595959,0.8984934383,1,-0.1015065617,0.01030358207,,-0.01851540176,-0.09257700881,-0.03703080352,-0.06480390617,-0.003703080352
,62,1,5.9,3,4.2,0.2,1,,0.3700763761,-0.04440126175,0.03789027526,0.5543554059,0.4740152752,2.644875517,0.9336944424,1,-0.06630555755,0.004396426962,,-0.008209838842,-0.04843804917,-0.02462951653,-0.03448132314,-0.001641967768
,63,1,6,2.2,4,0.2,1,,0.37089736,-0.03955745684,0.04035322691,0.5578035382,0.474179472,2.548379765,0.9274645904,1,-0.0725354096,0.005261385646,,-0.009759497766,-0.0585569866,-0.02147089508,-0.03903799106,-0.001951899553
,64,1,6.1,2.9,4.7,0.2,1,,0.3718733098,-0.03370175818,0.04250031642,0.5617073373,0.474374662,3.02444292,0.9536662407,1,-0.04633375928,0.002146817249,,-0.004094694271,-0.02497763505,-0.01187461338,-0.01924506307,-0.0008189388541
,65,1,5.6,2.9,3.6,0.2,1,,0.3722827792,-0.03120399467,0.04368777776,0.5636318436,0.4744565558,2.448200913,0.9204297875,1,-0.07957021254,0.006331418724,,-0.01165525278,-0.06526941557,-0.03380023306,-0.04195891001,-0.002331050556
,66,1,6.7,3.1,4.4,0.2,1,,0.3734483045,-0.02467705312,0.04706780107,0.5678277346,0.4746896609,2.947402196,0.9501405653,1,-0.04985943472,0.002485963231,,-0.004724029019,-0.03165099442,-0.01464448996,-0.02078572768,-0.0009448058037
,67,1,5.6,3,4.5,0.2,1,,0.3739207074,-0.02151195367,0.04853225006,0.5699063074,0.4747841415,3.058585729,0.955151753,1,-0.04484824705,0.002011365263,,-0.003842318114,-0.02151698144,-0.01152695434,-0.01729043151,-0.0007684636228
,68,1,5.8,2.7,4.1,0.2,1,,0.3743049392,-0.01936025553,0.0496849455,0.5716353505,0.4748609878,2.834841945,0.9445298339,1,-0.05547016611,0.003076939328,,-0.005812521986,-0.03371262752,-0.01569380936,-0.02383134014,-0.001162504397
,69,1,6.2,2.2,4.5,0.2,1,,0.3748861914,-0.01598899278,0.05125432643,0.5740184845,0.4749772383,3.066592582,0.9554934944,1,-0.04450650564,0.001980829044,,-0.00378533853,-0.02346909889,-0.008327744766,-0.01703402339,-0.000757067706
,70,1,5.6,2.5,3.9,0.2,1,,0.3752647253,-0.01364208289,0.05208710091,0.5757218869,0.4750529451,2.769412761,0.9410003923,1,-0.05899960773,0.003480953712,,-0.006551157617,-0.03668648266,-0.01637789404,-0.02554951471,-0.001310231523
,71,1,5.9,3.2,4.8,0.2,1,,0.375919841,-0.009973434623,0.05372489031,0.5782768383,0.4751839682,3.359761843,0.9664230495,1,-0.03357695049,0.001127411604,,-0.002179113121,-0.01285676742,-0.006973161989,-0.01045974298,-0.0004358226243
,72,1,6.1,2.8,4,0.2,1,,0.3761377523,-0.008687757881,0.05442220651,0.5793228126,0.4752275505,2.887861368,0.9472431086,1,-0.0527568914,0.00278328959,,-0.005272903767,-0.03216471298,-0.01476413055,-0.02109161507,-0.001054580753
,73,1,6.3,2.5,4.9,0.2,1,,0.3766650427,-0.005471286583,0.05589861957,0.5814319742,0.4753330085,3.426025761,0.9685080782,1,-0.03149192181,0.0009917411394,,-0.00192101861,-0.01210241724,-0.004802546525,-0.009412991188,-0.000384203722
,74,1,6.1,2.8,4.7,0.2,1,,0.3768571446,-0.004261044859,0.05637887422,0.5823732733,0.4753714289,3.340954289,0.9658073703,1,-0.03419262973,0.001169135928,,-0.002258320191,-0.01377575317,-0.006323296536,-0.0106141049,-0.0004516640383
,75,1,6.4,2.9,4.3,0.2,1,,0.3770829766,-0.002883469542,0.05701120387,0.5834346838,0.4754165953,3.127813722,0.958025565,1,-0.04197443496,0.00176185319,,-0.003375800796,-0.02160512509,-0.009789822307,-0.01451594342,-0.0006751601591
,76,1,6.6,3,4.4,0.2,1,,0.3774205567,-0.0007229570327,0.05799018611,0.5848862781,0.4754841113,3.215216045,0.9614028858,1,-0.03859711422,0.001489737226,,-0.002864475337,-0.01890553722,-0.00859342601,-0.01260369148,-0.0005728950673
,77,1,6.8,2.8,4.8,0.2,1,,0.3777070042,0.00116759669,0.05884952871,0.5861466473,0.4755414008,3.459037529,0.9694995191,1,-0.03050048087,0.0009302793331,,-0.001803810732,-0.01226591298,-0.00505067005,-0.008658291515,-0.0003607621464
,78,1,6.7,3,5,0.2,1,,0.3778873853,0.002394187987,0.05935459571,0.5870124764,0.4755774771,3.602170109,0.973459132,1,-0.02654086801,0.0007044176747,,-0.001371443636,-0.009188672363,-0.004114330909,-0.006857218181,-0.0002742887273
,79,1,6,2.9,4.5,0.2,1,,0.3780245297,0.003313055224,0.0597660288,0.5876981982,0.4756049059,3.310987218,0.9648038195,1,-0.03519618046,0.001238771119,,-0.002390342215,-0.01434205329,-0.006931992422,-0.01075653997,-0.0004780684429
,80,1,5.7,2.6,3.5,0.2,1,,0.3782635639,0.004747260553,0.06045922804,0.5887738522,0.4756527128,2.718355967,0.9381011378,1,-0.06189886223,0.003831469145,,-0.007188611129,-0.04097508343,-0.01869038893,-0.02516013895,-0.001437722226
,81,1,5.5,2.4,3.8,0.2,1,,0.378982425,0.008844768896,0.06232826694,0.5912898661,0.475796485,2.919277283,0.9487911962,1,-0.0512088038,0.002622341587,,-0.004976109222,-0.02736860072,-0.01194266213,-0.01890921504,-0.0009952218444
,82,1,5.5,2.4,3.7,0.2,1,,0.3794800359,0.01158162897,0.06352253315,0.5931807876,0.4758960072,2.88558119,0.9471290436,1,-0.05287095637,0.002795338028,,-0.005295091665,-0.02912300416,-0.01270822,-0.01959183916,-0.001059018333
,83,1,5.8,2.7,3.9,0.2,1,,0.3800095451,0.01449392938,0.06479335515,0.5951399715,0.476001909,3.055262665,0.9550091878,1,-0.04499081222,0.002024173184,,-0.003866207977,-0.02242400626,-0.01043876154,-0.01507821111,-0.0007732415953
,84,1,6,2.7,5.1,0.2,1,,0.3803961659,0.01673633001,0.0658372313,0.5966477926,0.4760792332,3.79669426,0.9780478661,1,-0.02195213392,0.0004818961836,,-0.0009426350681,-0.005655810409,-0.002545114684,-0.004807438847,-0.0001885270136
,85,1,5.4,3,4.5,0.2,1,,0.3804904294,0.01730191105,0.06609174277,0.5971285365,0.4760980859,3.454494009,0.9693648793,1,-0.03063512065,0.0009385106174,,-0.001819518463,-0.009825399699,-0.005458555388,-0.008187833082,-0.0003639036926
,86,1,6,3.4,4.5,0.2,1,,0.3806723812,0.01828445102,0.06663759831,0.5979473198,0.4761344762,3.502936756,0.9707712134,1,-0.02922878656,0.000854321964,,-0.001658702339,-0.009952214035,-0.005639587953,-0.007464160527,-0.0003317404678
,87,1,6.7,3.1,4.7,0.2,1,,0.3808382515,0.01927967242,0.06720155711,0.5986937359,0.4761676503,3.627430972,0.9741040357,1,-0.02589596431,0.0006706009674,,-0.001306470217,-0.008753350456,-0.004050057674,-0.006140410021,-0.0002612940435
,88,1,6.3,2.3,4.4,0.2,1,,0.3809688985,0.02015500747,0.06760656287,0.5993077769,0.4761937797,3.395633514,0.9675677928,1,-0.03243220719,0.001051848063,,-0.002035468618,-0.01282345229,-0.004681577821,-0.008956061918,-0.0004070937235
,89,1,5.6,3,4.1,0.2,1,,0.3811724453,0.0214373527,0.06807472066,0.6002033831,0.4762344891,3.261526551,0.9630851013,1,-0.03691489869,0.001362709745,,-0.002624810906,-0.01469894107,-0.007874432718,-0.01076172471,-0.0005249621812
,90,1,5.5,2.5,4,0.2,1,,0.3814349264,0.02290724681,0.06886216393,0.6012795556,0.4762869853,3.179955813,0.9600729723,1,-0.03992702773,0.001594167544,,-0.003061034344,-0.01683568889,-0.007652585859,-0.01224413738,-0.0006122068688
,91,1,5.5,2.6,4.4,0.2,1,,0.3817410299,0.0245908157,0.06962742251,0.6025039693,0.476348206,3.444308921,0.9690609665,1,-0.03093903348,0.0009572237925,,-0.001855216427,-0.01020369035,-0.00482356271,-0.008162952279,-0.0003710432854
,92,1,6.1,3,4.6,0.2,1,,0.3819265515,0.02561118473,0.07010977879,0.6033202645,0.4763853103,3.619034394,0.9738913837,1,-0.02610861635,0.0006816598475,,-0.001327725304,-0.008099124356,-0.003983175913,-0.006107536399,-0.0002655450608
,93,1,5.8,2.6,4,0.2,1,,0.382059324,0.02642109717,0.07050809638,0.6039310182,0.4764118648,3.229629184,0.9619341771,1,-0.03806582285,0.00144900687,,-0.002787698461,-0.01616865108,-0.007248016,-0.01115079385,-0.0005575396923
,94,1,5,2.3,3.3,0.2,1,,0.3823380939,0.02803796227,0.07123289798,0.6050460975,0.4764676188,2.778309216,0.941492378,1,-0.05850762199,0.003423141831,,-0.006445723886,-0.03222861943,-0.01482516494,-0.02127088882,-0.001289144777
,95,1,5.6,2.7,4.2,0.2,1,,0.3829826663,0.03126082422,0.07271541447,0.6071731864,0.4765965333,3.399821591,0.9676989591,1,-0.0323010409,0.001043357243,,-0.002019311436,-0.01130814404,-0.005452140878,-0.008481108032,-0.0004038622872
,96,1,5.7,3,4.2,0.2,1,,0.3831845974,0.03239163862,0.07326062856,0.6080212972,0.4766369195,3.436615656,0.9688294743,1,-0.03117052572,0.0009716016735,,-0.001882632677,-0.01073100626,-0.005647898031,-0.007907057244,-0.0003765265354
,97,1,5.7,2.9,4.2,0.2,1,,0.3833728607,0.03346473925,0.07382541836,0.608812003,0.4766745721,3.440560914,0.9689483967,1,-0.03105160326,0.000964202065,,-0.00186852409,-0.01065058731,-0.005418719861,-0.007847801178,-0.000373704818
,98,1,6.2,2.9,4.3,0.2,1,,0.3835597131,0.03452979798,0.07436729035,0.6095967831,0.4767119426,3.529918158,0.9715271485,1,-0.02847285152,0.0008107032737,,-0.001575240479,-0.009766490972,-0.00456819739,-0.006773534062,-0.0003150480959
,99,1,5.1,2.5,3,0.2,1,,0.3837172371,0.03550644708,0.07482411009,0.6102741365,0.4767434474,2.678031491,0.9357178193,1,-0.06428218065,0.00413219875,,-0.007733144006,-0.03943903443,-0.01933286002,-0.02319943202,-0.001546628801
,100,1,5.7,2.8,4.1,0.2,1,,0.3844905515,0.03945035052,0.07675739609,0.6125940797,0.4768981103,3.431293607,0.9686683525,1,-0.03133164749,0.0009816721342,,-0.001901829458,-0.01084042791,-0.005325122482,-0.007797500777,-0.0003803658916
Iterasi 2,101,1,5.1,3.5,1.4,0.2,0,,0.3846807345,0.04053439331,0.07728990834,0.6133738298,0.4769361469,1.816031411,0.860089246,1,0.860089246,0.7397535111,,0.206998943,1.055694609,0.7244963005,0.2897985202,0.0413997886
,102,1,4.9,3,1.4,0.2,0,,0.3639808402,-0.06503506762,0.004840278288,0.5843939777,0.472796168,0.9725406462,0.7256256127,1,0.7256256127,0.5265325298,,0.2889340805,1.415776995,0.8668022415,0.4045077127,0.0577868161
,103,1,4.7,3.2,1.3,0.2,0,,0.3350874321,-0.2066127671,-0.08183994587,0.5439432065,0.4670174864,-0.09735073415,0.4756815193,0,0.4756815193,0.2262729078,,0.2372781345,1.115207232,0.7592900303,0.3084615748,0.0474556269
,104,1,4.6,3.1,1.5,0.2,0,,0.3113596187,-0.3181334903,-0.1577689489,0.513097049,0.4622719237,-0.7790382199,0.3145272087,0,0.3145272087,0.09892736501,,0.1356240341,0.6238705567,0.4204345056,0.2034360511,0.02712480681
,105,1,5,3.6,1.4,0.2,0,,0.2977972153,-0.3805205459,-0.1998123995,0.4927534439,0.4595594431,-1.542363442,0.1761919624,0,0.1761919624,0.03104360762,,0.05114794695,0.2557397347,0.184132609,0.07160712573,0.01022958939
,106,1,5.4,3.9,1.7,0.2,0,,0.2926824206,-0.4060945194,-0.2182256604,0.4855927313,0.4585364841,-1.83409312,0.1377513878,0,0.1377513878,0.01897544484,,0.03272310196,0.1767047506,0.1276200976,0.05562927333,0.006544620391
,107,1,4.6,3.4,1.4,0.2,0,,0.2894101104,-0.4237649945,-0.2309876701,0.480029804,0.4578820221,-1.681648813,0.1568772623,0,0.1568772623,0.02461047544,,0.04149930285,0.1908967931,0.1410976297,0.058099024,0.008299860571
,108,1,5,3.4,1.5,0.2,0,,0.2852601801,-0.4428546738,-0.2450974331,0.4742199016,0.457052036,-1.959604202,0.1235098884,0,0.1235098884,0.01525469253,,0.02674117432,0.1337058716,0.09091999268,0.04011176148,0.005348234864
